page_id,Area,Projeto,Tarefa,Responsavel,Inicio,Fim,Status,Status_Original,Observacao
170a1e9e-48d6-430f-a38d-c86acb7e94da,B.I,Compilador de Relatórios V2,Padronização Automática -  Unimed,SM,2025-01-30,2025-01-30,Concluído,Concluída,
182c754a-47f4-8026-a8e9-d5561bece0cb,B.I,Compilador de Relatórios V2,Aprender usar Sistema Comissões,SM,2025-02-05,2025-02-05,Concluído,Concluída,"(07/02) [Samuel Monteiro]: Pedro Igor me mostrou como usar o sistema de comissões. (O próximo uso do Sistema de comissões fará eu e ele juntos, para evitar erros e me passar o que fazer)."
182c754a-47f4-8065-8023-cc1f2dcc3ce9,B.I,Compilador de Relatórios V2,Padronização Automática -  Porto Consórcio,SM,2025-01-21,2025-01-21,Concluído,Concluída,
182c754a-47f4-80f8-8805-e6a8df889021,B.I,Compilador de Relatórios V2,Aprender Usar Compilador de Relatórios,SM,2025-02-10,2025-02-10,Concluído,Concluída,"(07/02) [Samuel Monteiro]: Paulo ficou de me mostrar hoje
(07/02) [Samuel Monteiro]: Ele disse que segunda vai me mostrar"
187e5c49-f31f-4e73-9a61-ecc818f30515,B.I,Compilador de Relatórios V2,Padronização Automática - Azul,SM,2025-02-04,2025-02-04,Concluído,Concluída,
18fc754a-47f4-80d5-8e59-ce01652fcb5e,Geral,Avulso,Aba de manuais,SM,2025-02-21,2025-02-21,Concluído,Concluída,"Revisão o compartilhamento dos manuais para que reflita para todos de acordo com o nível de acesso. Temos vários manuais publicados de diferentes áreas, porém alguns possuem restrição de acessos e outros não, para isso temos uma propriedade que identifica essa diferença."
1908f95d-c5c7-48f3-a84e-228b8ff0872b,Geral,DBV → MG,Formulário 2,"AV, EP, RP",2025-06-20,2025-06-20,Concluído,Concluída,"(09/06) [DBV Life]: Segue perguntas para aprovação: @Luiz Coimbra 
(09/06) [Luiz Coimbra]: 1. Sobre sua experiência geral
Como você avalia sua experiência geral no evento?
( ) Excelente ( ) Muito boa ( ) Boa ( ) Regular ( ) Ruim

2. Sobre a programação
Houve algum tema que gostaria de ter visto abordado e não foi?
[Resposta aberta]


2. Possui atualmente ou tem interesse em algum dos temas: prev, rv, crédito, consórcio….

3.Patrimônio
Qual seu patrimônio disponível para investir hoje?
[Resposta aberta]

(11/06) [Alguém]: https://dbvcapital.fillout.com/t/fZwkzhqHKFus
(18/06) [Alguém]: Formulario atualizado com e-book. 

https://dbvcapital.fillout.com/t/fZwkzhqHKFus"
191c754a-47f4-807a-8a96-f05e449c173f,Geral,Avulso,Revisão Home’s,SM,2025-02-07,2025-02-07,Concluído,Concluída,"(05/02) [Samuel Monteiro]: A home do Assessor João Georg não existe. Sendo que as caixinhas de Home e Convite enviado no Cadastro Usuário Notion foram marcadas. Home temos a HOME - A38796 sendo que não tem um usuário cadastrado com esse código.
(05/02) [Luiz Coimbra]: Importante fazer esse cross de informações do que está marcado no checklist da aba de Cadastro e o que realmente está feito. Esse código é desconhecido 
(05/02) [Samuel Monteiro]: O funcionamento das páginas das homes estão funcionando perfeitamente agora. Compartilhamento ok, homes ok. Alterei no cadastro usuarios, coloquei mais um status pra saber se o usuário está ativo ou inativo.
(05/02) [Luiz Coimbra]: ótimo! Obrigado. Poderia também incluir no título das home’s o nome do usuário proprietário da página? Assim feito, esta tarefa estará encerrada, correto? Incluindo a entrega também das home’s de todos os backoffice "
1a6c754a-47f4-80c4-b369-dcd756baacc1,Geral,Avulso,Formatar computador MKT,SM,2025-02-26,2025-02-26,Concluído,Concluída,(27/02) [Samuel Monteiro]: Computador formatado.
1b3c754a-47f4-80e0-8830-f8066787179b,Geral,Avulso,Verificação de integração (email-Notion),SM,2025-03-12,2025-03-12,Concluído,Concluída,"(12/03) [Samuel Monteiro]: @Luiz Coimbra Acontece a mesma coisa com você e com qualquer outra pessoa, mesmo tendo acesso a pagina."
1bcc754a-47f4-8082-a931-e56c83e26e60,Geral,Avulso,Prospects: home marketing,SM,2025-03-25,2025-03-25,Concluído,Concluída,
1bcc754a-47f4-80ab-bd6b-fbd69dee9a8b,Geral,Avulso,Verificar caso da Marilena,SM,2025-03-21,2025-03-21,Concluído,Concluída,URGENTE e estranho
1c0c754a-47f4-8021-9c26-eb663d966dda,B.I,BD Produtos,Criar Checklist Mensal,SM,2025-03-31,2025-03-31,Concluído,Concluída,
1c0c754a-47f4-8078-857a-e4b5c6886dac,B.I,Automação de Demandas,Mensagem Slack Diretores,SM,2025-03-31,2025-03-31,Concluído,Concluída,Envio de mensagem pelo slack para os Diretores de cada área sempre que tiver nova demanda aberta (status Não Iniciado)
1c0c754a-47f4-807e-9ff2-f2e7ac4f852a,B.I,Novo Site DBV Life,1a. Prévia Site DBV Life,SM,2025-03-28,2025-03-28,Concluído,Concluída,
1c0c754a-47f4-8086-b2b6-f6d19e7c6e05,B.I,BD Clientes,Definir Rotina de Atualização,SM,2025-03-31,2025-03-31,Concluído,Concluída,(28/03) [Samuel Monteiro]: Será semanal.
1c0c754a-47f4-808b-8203-d52f7e9a532e,Geral,Avulso,Desenhar Layout Dashboard,SM,2025-04-04,2025-04-04,Concluído,Concluída,
1c0c754a-47f4-8092-8b29-ebb445ed0eb4,B.I,Novo Site DBV Life,Colocar Site no Ar,SM,2025-04-30,2025-04-30,Concluído,Concluída,
1c0c754a-47f4-80f9-a408-d0823c338366,B.I,Novo Site DBV Life,Comprar Licença Premium,SM,2025-03-24,2025-03-24,Concluído,Concluída,
1c1c754a-47f4-804b-9806-e5e27086e7ff,Geral,Geração de KPI’s,Envio de pesquisa para médico (SEGURO RESPONSABILIDADE CIVIL),SM,2026-02-02,2026-02-02,Concluído,Concluída,
1c1c754a-47f4-804e-bdcd-c1cb5f979e6a,Operações,DBV Academy,Manual Automação,SM,2025-04-29,2025-04-29,Concluído,Concluída,"(29/04) [Samuel Monteiro]: @Luiz Coimbra Depois aprova o manual 
(29/04) [Luiz Coimbra]: Aprovado"
1c1c754a-47f4-8057-8bc5-cf926ad360bc,Geral,Avulso,Apresentação Sistema de Comissões,SM,2025-04-15,2025-04-15,Concluído,Concluída,"(14/04) [Samuel Monteiro]: @Luiz Coimbra O Pedro disse que pode apresentar hoje.
(14/04) [Samuel Monteiro]: 13h."
1c1c754a-47f4-8059-b2eb-f5adb77060bf,Geral,Avulso,Home: Energia Livre,SM,2025-04-04,2025-04-04,Concluído,Concluída,
1c1c754a-47f4-8075-a271-dfe5732e65f5,B.I,Projeto SDR,Treinamento Notion SDR,"SM, LC",2025-04-01,2025-04-01,Concluído,Concluída,(28/03) [Samuel Monteiro]: Treinamento do SDR para o Vinícius já foi! Falta o dos assessores que vai ser dia 01
1c1c754a-47f4-8099-9404-e45b1af701de,B.I,Projeto SDR,Contratar serviço de telefonia virtual,"SM, LC",2025-04-10,2025-04-10,Concluído,Concluída,"(31/03) [Samuel Monteiro]: @Luiz Coimbra Poderia me atualizar sobre essa demanda?
(02/04) [Luiz Coimbra]: A pesquisa realizada pelo Vinicius. Gostei mais da NORTREZ, porém amanhã irei conversar melhor com ele sobre.
(07/04) [Luiz Coimbra]: Estamos em processo de negociação, aguardando o envio do orçamento 
(09/04) [Luiz Coimbra]: Serviço escolhido e já estamos em fase de assinatura do contrato"
1c1c754a-47f4-80a1-8782-ea1ecc10d983,Geral,Avulso,Botão Comissões substituir pelo link criado,SM,2025-04-01,2025-04-01,Concluído,Concluída,
1c1c754a-47f4-80a4-bcfa-c9e302364a9f,B.I,Projeto SDR,Criação Notion SDR,"SM, LC",2025-03-28,2025-03-28,Concluído,Concluída,"(25/03) [Samuel Monteiro]: @Luiz Coimbra Usaremos a base de dados de Prospects para a criação da home de SDR?
(25/03) [Luiz Coimbra]: Sim
(25/03) [Samuel Monteiro]: @Luiz Coimbra Preciso que veja a Home de SDR e diga coisas que precisam ser colocadas para que possamos terminar essa demanda.
(25/03) [Samuel Monteiro]: E o que eu coloco na pagina de Landing Page de SDR?
(25/03) [Luiz Coimbra]: Não precisamos, no primeiro momento, de landing page de SDR
(27/03) [Luiz Coimbra]: Qual a aprovação que preciso fazer neste card? Não está claro para mim. Quais etapas foram concluídas? Em que estágio estamos? O que falta para finalizarmos o Notion SDR? A landing page para incluir as reuniões agendadas já está pronta? A integração com os Bancos de Dados já está funcionando?
(28/03) [Samuel Monteiro]: Sim, está tudo funcionando. Tanto a Landing Page quanto a Home. Existe algo a mais para acrescentar? No caso vou fazer uma integração no Make para controle de Leads.
(31/03) [Luiz Coimbra]: Perfeito! Precisamos garantir que os leads estarão seguindo o fluxo entre página do SDR 1> landing page SDR 2> a página de leads do assessor, assim que 1 o status do agendamento da reunião seja marcado e 2 assim que o assessor marcar o código dele tomando a reunião para si. O que precisamos pensar é como seria essa tomada de reunião para si, já que se liberarmos para ele preencher o código, ele terá acesso à edição de tudo no card.
(31/03) [Samuel Monteiro]: O problema de tudo é que no notion não tem a opção de bloquear a coluna. Então automaticamente isso seria extremamente complicado. Além de não ter opções que dariam essa outra alternativa como um pop-up para adicionar o código. A única opção viável seria o próprio Assessor selecionar o Código diretamente através da tabela."
1c1c754a-47f4-80bc-ba19-f89431beec6c,B.I,Projeto SDR,Providenciar Headset,"SM, LC",2025-03-31,2025-03-31,Concluído,Concluída,(31/03) [Luiz Coimbra]: Comprado! Deve chegar entre 10 e 12 de abril.
1c1c754a-47f4-80d1-85d0-f618a63f8baf,B.I,Projeto SDR,Treinamento Institucional,"SM, LC, PG",2025-03-31,2025-03-31,Concluído,Concluída,"(31/03) [Samuel Monteiro]: @Luiz Coimbra Essa apresentação seria o Onboarding Inicial? Pois se for fizemos hoje com o Victor. Caso não seja, quando podemos fazer?"
1c1c754a-47f4-80d8-a508-c063e87ae4f9,Geral,Avulso,Estudar Curso Tráfego Pago,SM,2025-04-08,2025-04-08,Concluído,Concluída,
1c1c754a-47f4-80da-a0c4-c923b26ac136,Geral,Avulso,Levantamento Sites que tenho acesso,SM,2025-03-28,2025-03-28,Concluído,Concluída,"(28/03) [Samuel Monteiro]: Tarefa terminada, estou com o bloco de notas com todos os acessos"
1c1c754a-47f4-80df-9b8a-fe2c6426d5ca,B.I,Projeto SDR,Providenciar um laptop,"SM, LC",2025-04-15,2025-04-15,Concluído,Concluída,"(25/03) [Luiz Coimbra]: Notebook comprado, documentos em análise (primeira etapa) temos até 48h para resposta. Após isso, temos 10 dias para entrega da máquina. 
(31/03) [Luiz Coimbra]: Precisamos de criar uma nova conta para a compra do notebook, estou alinhando isto com o Paulo 
(31/03) [Samuel Monteiro]: Ok!
(04/04) [Luiz Coimbra]: Diego assumiu esta demanda, porque precisamos de um outro para cadastro na plataforma e aluguel 
(07/04) [Luiz Coimbra]: Vamos utilizar a máquina que está parada, a torre física do computador. Já pode seguir com a instalação, Samuel 
(07/04) [Samuel Monteiro]: Tudo bem. O laptop será formatado e passado para o SDR e o PC será redirecionado à Regina.
(07/04) [Luiz Coimbra]: Na verdade a orientação mudou, o notebook da Regina permanece com ela e somente liberamos a máquina para o Vinicius 
(15/04) [Luiz Coimbra]: Máquina instalada e operante"
1c3c754a-47f4-8007-8d4f-e11879dac9dd,Operações,DBV Academy,Criar Ambiente Notion,"RP, SM",2025-04-25,2025-04-25,Concluído,Concluída,
1c3c754a-47f4-801e-bbf2-c6834c926b99,Operações,DBV Academy,Comprar Licença Loom,"RP, SM",2025-04-02,2025-04-02,Concluído,Concluída,"(28/03) [Samuel Monteiro]: A compra da Licença do Loom será feita segunda. Orientação do Coimbra.
(31/03) [Samuel Monteiro]: Coimbra indagou o motivo da compra de Licença do Loom
(31/03) [Paulo Gomes]: Tem alguma outra sugestão pra fazermos as vídeos aulas gravadas?
(31/03) [Samuel Monteiro]: Existe a possibilidade de gravação de tela de modo gratuito como o OBS Studio. Caso seja somente para gravações ou  Lives, o OBS é o suficiente, pois ele pode integrar algumas plataformas para o caso de Lives.
No OBS há possibilidade de adição de cenas e tantas outras coisas. Qual seria o motivo específico sobre a contratação do serviço Loom? Há algo em específico sobre?
(31/03) [Luiz Coimbra]: @Samuel Monteiro, por favor conferir a indicação deste sistema com o Paulo Goes, confirmar se realmente precisamos incluir este custo
(31/03) [Samuel Monteiro]: Como discutimos, anteriormente, devemos usar o Vimeo, uma plataforma similar ao Loom, mais em conta e mais interessante no quesito praticidade. Estou testando ainda o Vimeo na parte do teste gratuito de 7 dias. Amanhã farei todos os testes necessários e dia 02 já prosseguiremos com essa tarefa.
(01/04) [Luiz Coimbra]: Perfeito! Data de entrega atualizada "
1c3c754a-47f4-8044-9fad-dacb20b9b89c,Operações,DBV Academy,Produção dos Vídeos,"RP, LC, VG",2025-07-11,2025-07-11,Concluído,Concluída,"(02/05) [Luiz Coimbra]: Precisamos rever e programar estes prazos urgentemente
(02/05) [Alguém]: Vou enviar mensagem para todos que estão na lista para agendar as gravações para semana que vem.
(06/05) [Alguém]: Já estou agendando as gravações e até semana que vem estarei com todas gravadas.
(20/05) [Luiz Coimbra]: Bom dia, @Anonymous, atualize, por favor a listagem abaixo com os vídeos já gravados e os que faltam e vamos redefinir esta data de entrega condizente com o que falta do trabalho
(28/05) [Luiz Coimbra]: Agendado: 
Coimbra segunda 02 16h (compliance)
Thiago terça 03 16h (empresas)
Eduardo quarta 04 16h (fundos)
Samuel quinta 05 10h
Carlos quinta 05 16h 
Regina sexta 06 15h30h
Eduardo sexta 13 16h (CRM e NPS)
(11/06) [Luiz Coimbra]: Falta o meu de compliance
(25/06) [Luiz Coimbra]: @Rhana Pitta, faça o agendamento dos treinamentos meu Paulo e Diego para semana que vem e vamos tentar encerrar esta produção até dia 11/07"
1c3c754a-47f4-8047-9ccc-da5367103f35,B.I,Projeto SDR,Atualização BD Google-Sheets (Leads) ,SM,2025-03-28,2025-03-28,Concluído,Concluída,
1c3c754a-47f4-8053-a46b-d15733d15dc9,Operações,DBV Academy,Subir Vídeos no Notion,"RP, SM",2025-07-04,2025-07-04,Concluído,Concluída,"(20/05) [Luiz Coimbra]: Bom dia! Poderia atualizar esta demanda, por favor
(20/05) [Alguém]: Estou editando os vídeos que foram gravados e irei subir até o final da semana.
(20/05) [Luiz Coimbra]: @Anonymous, atualize a data final desta tarefa, por gentileza, de acordo com o que conversamos
(25/06) [Luiz Coimbra]: Boa tarde, @Anonymous e @Samuel Monteiro, precisamos destes vídeos na aba do Academy, assim como prepararmos o anúncio de lançamento da plataforma
(25/06) [Luiz Coimbra]: Estávamos programados para subir estes vídeos dia 23, conseguimos encerrar isso até amanhã? 26/06 
(25/06) [Alguém]: Então por um erro meu não consegui finalizar todos os videos ainda e não vou conseguir editar nenhum hoje pois estão no meu computador no escritorio. Poderiamos colocar o prazo até sexta?
(25/06) [Luiz Coimbra]: Pode ser"
1c3c754a-47f4-806c-9e46-f45a4a7bc1d0,Operações,DBV Academy,Entrega das Apresentações,"RP, LC, VG, AV",2025-04-11,2025-04-11,Concluído,Concluída,"(17/04) [Alguém]: Ainda não recebi todas as apresentações. 
(02/05) [Luiz Coimbra]: Observações acrescidas na tarefa “Revisão das Apresentações” "
1c3c754a-47f4-80c6-a628-fd6fd13d6219,Operações,DBV Academy,Testar Vídeo e Audio,"RP, SM",2025-04-01,2025-04-01,Concluído,Concluída,"(31/03) [Samuel Monteiro]: Para dar andamento nessa demanda preciso que o Paulo verifique se seguirá com o Loom ou se irá usar o OBS Studio.
Como citei em outro card, o OBS é gratuito e podemos upar os vídeos no Notion em um lugar separado para o mesmo."
1c3c754a-47f4-80f1-8107-c2a1dbe56fad,Operações,DBV Academy,Revisão das Apresentações,"RP, LC, VG",2025-05-06,2025-05-06,Concluído,Concluída,"(17/04) [Alguém]: Ainda não recebi todas as apresentações. Quase todas que já recebi já foram revisadas.
(02/05) [Luiz Coimbra]: Enviada pelo slack na última quarta (30/04) a apresentação do Eduardo, pode seguir ainda que falte algumas apresentações. na terça revisaremos este projeto"
1c4c754a-47f4-8046-8169-cf97bdf11ffe,Geral,Avulso,Atualização BD - 04/25,SM,2025-04-11,2025-04-11,Concluído,Concluída,
1c4c754a-47f4-806e-b872-cfa49aff064f,Geral,Avulso,Atualização BD - 06/25,SM,2025-06-05,2025-06-05,Concluído,Concluída,
1c4c754a-47f4-808b-8a39-e8352500d0d7,Geral,Avulso,Atualização BD - 05/25,SM,2025-05-08,2025-05-08,Concluído,Concluída,
1c4c754a-47f4-80de-8cdf-e68dbb832708,Geral,Avulso,Atualização BD - 07/25,SM,2025-07-11,2025-07-11,Concluído,Concluída,
1c7c754a-47f4-8006-917f-e8b49f03d18a,Geral,Avulso,Aviso contato site Life (Home Operações),SM,2025-04-22,2025-04-22,Concluído,Concluída,
1c8c754a-47f4-800a-96a2-fc722fd9d16e,Geral,Avulso,Unificação do BD de tarefas do BackOffice,SM,2025-04-08,2025-04-08,Concluído,Concluída,"Unificar todos os BD’s das tarefas (Exceto de postagens), para que faça uma visualização unica e depois venha colocar a visualização por responsável em cada home específica."
1c9c754a-47f4-8034-befa-e8c211cc2daa,Geral,Avulso,Correção BD’s Pesquisas,SM,2025-04-02,2025-04-02,Concluído,Concluída,(02/04) [Samuel Monteiro]: BD’s corrigidos. Agora precisa ver como será a visualização.
1c9c754a-47f4-803d-8cd3-dde3b9ad8499,Geral,Avulso,Relatório de Comissões 04/25,SM,2025-04-11,2025-04-11,Concluído,Concluída,"(09/04) [Samuel Monteiro]: Falta apenas o Thiago cobrar Ouribank. Já está feito.
(09/04) [Samuel Monteiro]: Thiago mandou e-mail e mensagem cobrando a Ouribank pelo atraso no envio do Relatório."
1cac754a-47f4-8034-9f34-de57aadb1a84,B.I,Projeto SDR,Ajustar BD  Leads,SM,2025-04-04,2025-04-04,Concluído,Concluída,"Precisa tirar a propriedade INDICADOR (verificar antes se tem algo escrito nela e preencher na coluna Tipo, como fizemos anteriormente)."
1cac754a-47f4-807b-9236-caf6c73333bf,Geral,Avulso,Mesa RV - Automação Pesquisa 3° Disparo,SM,2025-04-08,2025-04-08,Concluído,Concluída,"O envio são para todos clientes Capital XP, só alinhar quando mandar."
1cac754a-47f4-809f-912d-c8a7c5d3fc84,Geral,Geração de KPI’s,Mesa RV - Automação Pesquisa 5° Disparo,SM,2025-04-10,2025-04-10,Concluído,Concluída,"O envio são para todos clientes Capital XP, só alinhar quando mandar."
1cac754a-47f4-80c8-b743-fee1dbafed53,Geral,Avulso,Mesa RV - Automação Pesquisa 2° Disparo,SM,2025-04-04,2025-04-04,Concluído,Concluída,"O envio são para todos clientes Capital XP, só alinhar quando mandar."
1cac754a-47f4-80cf-a5b7-d914afb5af8e,Geral,Avulso,Mesa RV - Automação Pesquisa 4° Disparo,SM,2025-04-09,2025-04-09,Concluído,Concluída,"O envio são para todos clientes Capital XP, só alinhar quando mandar."
1cbc754a-47f4-802b-9386-d1eb0d9eb5b2,Geral,Avulso,Ajeitar FillOut Câmbio,SM,2025-04-07,2025-04-07,Concluído,Concluída,"Ao preencher os formulários de câmbio, a opção COMERCIAL não é selecionada e por isso a automação do slack não funciona"
1cfc754a-47f4-8002-9df6-ceec3773e2c8,Geral,Avulso,Rankings na Tela,RP,2026-02-02,2026-02-02,Concluído,Concluída,
1cfc754a-47f4-8002-ac32-eeedc567d069,Geral,Avulso,Criação da aba “Próximo Câmbio” no CRM,AV,2024-09-20,2024-09-20,Concluído,Concluída,"Ajeitas as datas referentes aos bankers:
. Data Solicitação
. Data Em Negociação
. Data Em Processo
. Data Contrato Assinado
. Data Finalizado"
1cfc754a-47f4-8007-ae78-c8f5d40ce335,Geral,Avulso,Criar Usuário ,"AV, PG",2024-10-18,2024-10-18,Concluído,Concluída,
1cfc754a-47f4-8008-ac97-f6f9767dfe9f,Geral,Avulso,Treinamento NOTION,AV,2025-02-14,2025-02-14,Concluído,Concluída,
1cfc754a-47f4-8009-854d-ffdab21939a4,Geral,Avulso,Canal Life Youtube,RP,2026-02-02,2026-02-02,Concluído,Concluída,"Lançar o regulamento da campanha, que fala das premiações, junto com uma arte para passar nas televisões
"
1cfc754a-47f4-800b-ad79-c3088e02c09b,Geral,Avulso,olhar ata de reunião e ver gráficos rhana,SM,2025-04-09,2025-04-09,Concluído,Concluída,
1cfc754a-47f4-800c-8e42-d8e4aee03fbe,Geral,Avulso,Atualização site,RP,2026-02-02,2026-02-02,Concluído,Concluída,"Pegar o material da Porto como referência. Tirar as tabelas e colocar só o texto: ""Campanha Porto Seguro Turbinada"" 
Maior prazo, menor parcela. E as fotos da casa, do veículo e do caminhão. Junto com isso, enviaremos um texto padrão via Whatsapp : 
Boa tarde, XXX! 

Tudo bem?

Passando para informar que esse mês temos a campanha Turbinada da Porto Seguro em parceria com a DBV. 

Como estratégia de crescimento de patrimônio e aquisição de bens o Consórcio é uma excelente ferramenta! 

Caso esteja pensando em trocar de carro ou adquirir um imóvel esse é um excelente momento! Me avise que explico melhor como está funcionando a campanha. 

Abs!!"
1cfc754a-47f4-800e-a11a-e6bcd3afbd63,Geral,Avulso,Apt: Saúde ,AV,2026-02-02,2026-02-02,Concluído,Concluída,
1cfc754a-47f4-8019-ad47-f52558ed4a21,Geral,Avulso,Enviar Documentos Cash Me ,"AV, SM",2026-02-02,2026-02-02,Concluído,Concluída,
1cfc754a-47f4-801b-a592-dc16a35ecacf,Geral,Avulso,Adicionar uma conta administradora em todos os PCs,SM,2026-02-02,2026-02-02,Concluído,Concluída,
1cfc754a-47f4-801e-bd65-c08feea47c88,Geral,Avulso,Revisar todas as Demandas Life,SM,2024-08-22,2024-08-22,Concluído,Concluída,
